TAX YEAR, BILL#, ZIP, MAKE, VEHICLE YR, VALUE, TAX, TAX PAID
2014,359063,02136-2863,TOYT ,2014,23550,245.31,245.31
2014,359064,02128-1448,VOLV ,2000,2300,19.17,19.27
2014,359065,02130-1840,FORD ,2011,8000,83.33,83.33
2014,359066,02126-1723,NISS ,2011,8300,103.75,0
2014,359067,02119-    ,CHRY ,2004,1750,14.58,14.58
2014,359068,02128-3125,ACUR ,2011,11550,120.31,120.31
2014,359069,02120-2145,TOYT ,2004,2450,25.52,0
2014,359070,02114-3405,HOND ,2005,1950,24.38,24.38
2014,359071,02135-4336,JEEP ,2007,2950,36.88,36.88
2014,359072,02215-4761,HOND ,2013,12500,130.21,130.21
2014,359073,02122-    ,TOYT ,2007,2300,23.96,0
2014,359074,02135-4038,BMW  ,2006,4850,60.63,0
2014,359075,02119-1083,TOYT ,2003,1900,19.79,0
2014,359076,02134-2427,FORD ,2010,3500,36.46,36.52
2014,359077,02135-    ,FORD ,2014,16650,173.44,173.44
2014,359078,02127-2550,VOLK ,2006,1800,18.75,18.75
2014,359079,02119-    ,TOYT ,2012,9000,75,0
2014,359080,02125-3113,TOYT ,2014,15100,188.75,188.75
2014,359081,02128-2570,TOYT ,2007,1950,16.25,16.25
2014,359082,02119-3234,TOYT ,2009,2000,20.83,20.85
2014,359083,02122-    ,HOND ,2006,2850,29.69,29.69
2014,359084,02132-5005,VOLK ,2004,1550,16.15,16.15
2014,359085,02128-1056,CHEV ,2002,1750,21.88,21.88
2014,359086,02128-1056,TOYT ,2011,5250,43.75,43.75
2014,359087,02131-3418,MAZD ,2014,19100,238.75,238.75
2014,359088,02126-    ,ACUR ,2001,2800,35,35
2014,359089,02120-3211,NISS ,2004,2700,28.13,0
2014,359090,02136-2510,LEXS ,1995,4750,49.48,49.48
2014,359091,02128-    ,TOYT ,2007,1950,20.31,20.31
2014,359092,02127-4306,SUBA ,2014,26350,274.48,274.48
2014,359093,02126-1406,DODG ,2007,2700,28.13,0
2014,359094,02115-4331,HOND ,2006,2200,22.92,22.92
2014,359095,02115-4503,SPEED,2010,250,5,5
2014,359096,02130-1222,CHEV ,2006,2200,18.33,18.33
2014,359097,02121-1024,TOYT ,2014,23750,296.88,296.88
2014,359098,02121-1024,TOYT ,2014,23550,245.31,0
2014,359099,02136-6355,AUDI ,2005,4100,51.25,0
2014,359100,02124-    ,TOYT ,2013,9750,101.56,101.56
2014,359101,02131-3120,ACUR ,2005,2000,20.83,0
2014,359102,02124-1224,TOYT ,2006,2050,21.35,0
2014,359103,02131-2117,CHRY ,2013,24200,302.5,0
2014,359104,02124-2516,HOND ,2003,1900,15.83,15.83
2014,359105,02118-3123,ACUR ,2009,4100,34.17,34.17
2014,359106,02118-3122,NISS ,2005,2300,23.96,23.96
2014,359107,02132-1907,ACUR ,2011,11550,120.31,0
2014,359108,02131-    ,FORD ,2005,1850,15.42,15.42
2014,359109,02132-2137,CHEV ,2014,38150,476.88,0
2014,359110,76014-    ,CHEV ,2014,31750,264.58,264.58
2014,359111,76014-    ,CHEV ,2014,31750,396.88,396.88
2014,359112,76014-    ,GMC  ,2014,38150,317.92,317.92
2014,359113,76014-    ,GMC  ,2014,43800,547.5,547.5
2014,359114,76014-    ,CHEV ,2014,35000,364.58,364.58
2014,359115,76014-    ,CHEV ,2015,26500,220.83,220.83
2014,359116,76014-    ,CHEV ,2015,26500,220.83,220.83
2014,359117,76014-    ,CHEV ,2015,31000,387.5,387.5
2014,359118,76014-    ,CHEV ,2014,15400,160.42,160.42
2014,359119,76014-    ,CHEV ,2014,15400,128.33,128.33
2014,359120,76014-    ,CHEV ,2014,15400,128.33,128.33
2014,359121,76014-    ,CHEV ,2014,15400,160.42,160.42
2014,359122,76014-    ,CHEV ,2014,15400,192.5,192.5
2014,359123,76014-    ,CHEV ,2014,16850,175.52,175.52
2014,359124,76014-    ,CHEV ,2014,16850,175.52,175.52
2014,359125,76014-    ,CHEV ,2014,16850,175.52,175.52
2014,359126,76014-    ,CHEV ,2014,19950,166.25,166.25
2014,359127,76014-    ,CHEV ,2014,19950,249.38,249.38
2014,359128,76014-    ,CHEV ,2014,21150,176.25,176.25
2014,359129,76014-    ,BUIC ,2014,21350,177.92,177.92
2014,359130,76014-    ,BUIC ,2013,16050,133.75,133.75
2014,359131,76014-    ,CADI ,2014,31600,263.33,263.33
2014,359132,76014-    ,GMC  ,2014,23800,247.92,247.92
2014,359133,76014-    ,GMC  ,2014,25400,264.58,264.58
2014,359134,76014-    ,GMC  ,2013,18400,153.33,153.33
2014,359135,76014-    ,CHEV ,2014,21900,228.13,228.13
2014,359136,76014-    ,CHEV ,2013,15250,190.63,190.63
2014,359137,76014-    ,CHEV ,2014,23500,244.79,244.79
2014,359138,76014-    ,CHEV ,2014,25000,312.5,312.5
2014,359139,76014-    ,CHEV ,2014,26700,278.13,278.13
2014,359140,76014-    ,CHEV ,2014,30000,250,250
2014,359141,76014-    ,CHEV ,2014,32200,268.33,268.33
2014,359142,76014-    ,BUIC ,2014,40300,503.75,503.75
2014,359143,02136-1501,TOYT ,2009,2300,23.96,23.96
2014,359144,02136-    ,PORS ,2008,4950,61.88,0
2014,359145,02121-1247,CHEV ,2011,9100,75.83,0
2014,359146,02124-    ,INFI ,2001,2950,30.73,30.73
2014,359147,02136-    ,NISS ,2014,14400,180,180
2014,359148,02111-1650,HOND ,2014,27550,229.58,230.56
2014,359149,02131-2800,NISS ,2009,1700,21.25,21.25
2014,359150,02129-    ,VOLK ,2013,14350,119.58,119.58
2014,359151,02136-1631,MERZ ,2007,5500,68.75,0
2014,359152,02131-3810,CHEV ,2005,2450,30.63,0
2014,359153,02127-1358,FORD ,2001,1400,17.5,17.5
2014,359154,02128-    ,INFI ,2008,3250,40.63,40.63
2014,359155,02129-2437,HOND ,2002,2550,31.88,31.88
2014,359156,02125-3035,JEEP ,2005,2800,23.33,0
2014,359157,02125-3035,TOYT ,2012,9000,112.5,0
2014,359158,02122-1306,TOYT ,2014,16850,140.42,140.42
2014,359159,02124-    ,MAZD ,2014,23400,195,195
2014,359160,01801-2070,FORD ,2014,25100,261.46,261.46
2014,359161,01801-2070,FORD ,2014,25100,261.46,261.46
2014,359162,02128-1106,GMC  ,2004,4050,33.75,33.75
2014,359163,02119-    ,NISS ,2014,14400,120,0
2014,359164,02108-3601,LOAD ,2007,100,5,5
2014,359165,02131-2724,FORD ,2001,1600,16.67,16.67
2014,359166,02130-1643,ACUR ,2008,3300,41.25,41.25
2014,359167,02135-2559,SUBA ,2008,2350,29.38,0
2014,359168,02124-1670,JEEP ,2005,3400,35.42,35.42
2014,359169,02126-    ,HD   ,1991,1150,9.58,0
2014,359170,02129-2441,VOLK ,2014,45950,478.65,478.65
2014,359171,02124-2017,MERZ ,2001,5650,47.08,0
2014,359172,02115-1026,BMW  ,2011,11250,140.63,140.63
2014,359173,02126-3107,PREVO,1994,3500,36.46,0
2014,359174,02135-8113,HOND ,2001,1900,19.79,19.79
2014,359175,02134-1822,SUBA ,2001,2300,23.96,0
2014,359176,02131-2617,AUDI ,2001,3100,32.29,32.29
2014,359177,02129-1446,CHEV ,2011,8450,88.02,0
2014,359178,02128-1617,VOLV ,1998,2700,33.75,0
2014,359179,02136-    ,FORD ,2005,2350,24.48,24.48
2014,359180,02118-2743,AUDI ,2012,16400,205,205
2014,359181,02121-1409,HOND ,2006,3450,35.94,35.94
2014,359182,02120-    ,TOYT ,2011,7250,60.42,0
2014,359183,02126-1507,TOYT ,2010,2600,27.08,27.08
2014,359184,02136-6002,TOYT ,2014,20400,170,170.56
2014,359185,02120-2424,NISS ,2008,2000,25,0
2014,359186,02118-1735,TOYT ,1998,2000,20.83,0
2014,359187,02130-2538,MITS ,2003,1850,19.27,0
2014,359188,02118-2766,TOYT ,2004,2000,20.83,20.83
2014,359189,02115-4808,HOND ,2015,15750,131.25,0
2014,359190,02131-4902,TOYT ,2006,2050,21.35,21.35
2014,359191,02121-    ,FORD ,2002,2350,29.38,29.38
2014,359192,02121-3714,NISS ,2003,1850,19.27,19.27
2014,359193,02123-    ,TOYT ,2002,1900,19.79,0
2014,359194,02124-    ,CHEV ,2005,1950,16.25,16.28
2014,359195,11042-    ,VAN  ,2014,458800,5735,5735
2014,359196,11042-    ,VAN  ,2014,458800,5735,5735
2014,359197,32822-    ,KIA  ,2014,14300,178.75,178.75
2014,359198,32822-    ,CHEV ,2015,11150,139.38,139.38
2014,359199,32822-    ,CHEV ,2015,11150,139.38,139.38
2014,359200,32822-    ,CHEV ,2015,11150,139.38,139.38
2014,359201,32822-    ,CHEV ,2015,11800,147.5,147.5
2014,359202,32822-    ,CHEV ,2015,11800,147.5,147.5
2014,359203,32822-    ,CHEV ,2015,11800,122.92,122.92
2014,359204,32822-    ,CHEV ,2015,11800,147.5,147.5
